"Country","Suicide Change Boys","Suicide Change (Girls)","Religiosity","Pysch Distress Change Girls","Psych Distress Change Boys","Individualism","GDP per Capita 2014","GINI 2014","Log_GDP per capita 2014","STD_Psych Change Girls","STD_Psych Change Boys","STD_Suicide Change Girls","STD_Suicide Change Boys","STD_Religiosity","STD_Individualism","STD_GINI","STD_LOG_GDP per capita 2014","Belief in God","Looseness Scores","Praying Daily","Going to Services","Religious Importance"
"Czech Republic",-0.414,0.728,0.08,0.1112572837,0.008467531736,58,34386,25.9,4.536381658841393,-0.3135233987679711,-0.4434559210924552,0.4028139954722441,-1.0422327956351027,-1.0177118679632484,0.0777967312217258,-1.3954913328128877,-0.10612879936376422,0.13,58.4,0.09,0.11,0.07
"Croatia",1.011,-0.823,0.44,0.07385181479,0.03226512856,33,24170,32.1,4.383276650407651,-0.4367712333510675,-0.3606596358186695,-1.3846864483543073,2.6570206003114456,1.732565780580865,-1.2593345866516876,0.12970913029350556,-0.8839219619395831,0.57,61.7,0.4,0.4,0.42
"Slovakia",-0.072,0.279,0.29,0.07289682388,-0.00217307106,52,27416,26.1,4.438004091421811,-0.4399178470718374,-0.4804765661222157,-0.11465067201848546,-0.1544119806079313,0.586616760354151,-0.2431147850678934,-1.3462913178739713,-0.605899512762121,0.37,76.4,0.31,0.31,0.23
"Russia",,,0.17,-0.0196401532,0.004072894875,39,26057,39.9,4.415924412971164,-0.7448193060380853,-0.4587456837482834,,,-0.3301424558272199,-0.9384230703620684,2.0485097129112244,-0.7180671231262027,0.25,70.4,0.17,0.17,0.15
"Romania",-0.405,-0.378,0.55,-0.002653765012,0.07463730886,30,23091,36.0,4.363442741279142,-0.6888506035310783,-0.2132389044844456,-0.8718317110862124,-1.0188690899764932,2.572928395413789,-1.4197903447964972,1.0891094216023651,-0.9846807748949422,0.64,59.0,0.44,0.5,0.5
"Greece",-0.103,-0.307,0.49,0.05111641724,-0.05530694893,35,28129,35.8,4.449154293053878,-0.5116824321162894,-0.665339253828157,-0.7900054496344489,-0.23488696676536497,2.1145487873231033,-1.1523640812218146,1.0399094066634484,-0.5492550523392814,0.59,80.8,0.29,0.38,0.55
"Norway",0.521,-0.154,0.17,-0.07601600307,0.01084625487,69,62838,26.8,4.798222353917485,-0.9305729303537452,-0.4351798989106107,-0.6136756186186768,1.384996625564913,-0.3301424558272199,0.6661345110860277,-1.1740912655877658,1.2240556563747826,0.19,,0.18,0.16,0.19
"Lithuania",-0.024,0.248,0.21,-0.08459898446,-0.08342407809,60,29855,37.7,4.4750170755177985,-0.958853123101221,-0.7631639990840915,-0.15037763124390335,-0.029805550428679144,-0.024556050433429667,0.18476723665159886,1.507309548583151,-0.41786878632873237,0.34,54.6,0.15,0.27,0.16
"Ukraine",,,0.31,0.07103705699,-0.1295665924,25,12385,24.0,4.092896010921856,-0.44604562059536523,-0.9237024268217857,,,0.7394099630510463,-1.68721660837118,-1.8628914747325884,-2.3590930111883472,0.32,81.3,0.29,0.35,0.22
"Spain",0.098,0.217,0.21,-0.1833046104,-0.40842144,51,35983,36.1,4.5560973688242,-1.2840797547348068,-1.8938905379416082,-0.1861045904693212,0.2869024596102534,-0.024556050433429667,-0.29660003778282995,1.1137094290718235,-0.005970453292473451,0.25,96.4,0.23,0.23,0.22
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
